Id,age_days,age_months,open_year,open_month,open_day,open_week,city_freq,city_group_Other,type_IL,type_Other,region_Black Sea,region_Central Anatolia,region_Eastern Anatolia,region_Marmara,region_Mediterranean,region_Southeastern Anatolia,latitude,longitude,area_km2,city_center_elevation_m,population,population_density,population_growth_rate,district_count,gdp_try,gdp_per_capita_try,gdp_per_capita_usd,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,all_zero,revenue,log_revenue
22,3106,102,2006,7,1,26,0.021897810218978103,True,False,False,False,True,False,False,False,False,38.7205,35.4826,16969,1054,1458991,86,0.45,16,586262884830,403635,12296,9,6.0,6.0,6.0,4,6,10,10,10,10,2,10,7.5,0,0,0,0,0,15,12,3,3,10,0,0,0.0,0.0,7.5,7.5,0,0,0,0,0,0,0,0,1,3956086.0,15.190765963393943
23,2038,66,2009,6,3,23,0.029197080291970802,True,False,False,False,False,False,True,False,False,40.783,30.4,4824,31,1123693,233,1.17,16,532515238110,479426,14605,2,4.0,4.0,4.0,2,2,5,3,4,4,5,4,4.0,0,0,0,0,0,2,2,1,1,1,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,1,2999068.0,14.913812465135697
24,1929,63,2009,9,20,38,0.36496350364963503,False,True,False,False,False,False,True,False,False,41.0136,28.955,5461,39,15754053,2885,0.33,39,12603189175738,802669,24452,5,5.0,3.0,5.0,2,2,5,5,5,4,2,5,4.0,4,4,4,5,4,5,5,2,2,3,2,2,2.0,5.0,3.0,2.0,5,5,4,4,4,4,5,2,0,8904084.0,16.00202071816329
25,1105,36,2011,12,23,51,0.021897810218978103,True,False,False,False,True,False,False,False,False,39.7714,30.5183,13960,792,927956,66,0.69,14,489232539420,530834,16171,4,4.0,5.0,5.0,2,2,5,5,5,5,2,5,5.0,0,0,0,0,0,3,1,2,1,1,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,1,3778621.0,15.14486995086662
26,1773,58,2010,2,23,8,0.1386861313868613,False,True,False,False,True,False,False,False,False,39.9199,32.8543,25632,938,5910320,231,0.79,25,4625907830091,788859,24031,3,5.0,4.0,5.0,2,3,5,3,5,4,5,5,4.0,3,4,4,1,4,5,5,2,3,2,2,2,2.0,1.0,3.0,3.0,5,5,4,3,3,4,3,1,0,2267425.0,14.634155825378254
27,5563,182,1999,10,9,40,0.0364963503649635,True,False,False,False,False,False,True,False,False,40.1972,29.0622,10813,155,3263011,302,0.75,17,1596237085368,492876,15014,4,5.0,4.0,3.0,1,2,5,4,4,5,4,4,5.0,0,0,0,0,0,5,5,5,5,5,0,0,0.0,0.0,4.0,3.0,0,0,0,0,0,0,0,0,1,5435276.0,15.508421043200087
28,6182,203,1998,1,28,5,0.36496350364963503,False,True,False,False,False,False,True,False,False,41.0136,28.955,5461,39,15754053,2885,0.33,39,12603189175738,802669,24452,4,5.0,4.0,4.0,1,3,5,5,4,4,2,4,4.0,3,4,4,2,4,5,5,2,4,3,5,3,4.0,2.0,4.0,2.0,3,5,5,2,3,5,4,4,0,4705945.0,15.364337373490478
29,3002,98,2006,10,13,41,0.1386861313868613,False,False,False,False,True,False,False,False,False,39.9199,32.8543,25632,938,5910320,231,0.79,25,4625907830091,788859,24031,1,1.0,4.0,4.0,2,1,1,4,4,4,5,2,4.0,0,0,0,0,0,1,1,1,1,1,0,0,0.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0,1,3447890.0,15.053273297737032
30,2222,73,2008,12,1,49,0.029197080291970802,True,True,False,False,False,False,True,False,False,40.783,30.4,4824,31,1123693,233,1.17,16,532515238110,479426,14605,1,1.0,3.0,3.0,2,1,1,5,5,5,2,5,5.0,0,0,0,0,0,1,1,1,1,1,0,0,0.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0,1,3008199.0,14.91685245120325
31,731,24,2012,12,31,1,0.36496350364963503,False,True,False,False,False,False,True,False,False,41.0136,28.955,5461,39,15754053,2885,0.33,39,12603189175738,802669,24452,4,5.0,4.0,4.0,1,3,5,5,5,5,2,5,5.0,2,3,3,1,3,4,2,1,2,1,5,2,5.0,2.0,2.0,3.0,4,3,3,2,3,4,3,3,0,2058644.0,14.537558557351856
32,2175,71,2009,1,17,3,0.0072992700729927005,True,False,False,False,False,False,False,False,True,37.15833,38.79167,19242,477,2265800,118,1.25,13,421018295280,188144,5731,3,4.0,3.0,4.0,3,2,5,4,4,4,3,4,4.0,0,0,0,0,0,5,1,1,1,1,0,0,0.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0,1,3261924.0,14.997828069869346
33,618,20,2013,4,23,17,0.0364963503649635,True,False,False,True,False,False,False,False,False,41.2903,36.3336,9725,4,1392403,143,0.73,17,510670430040,369415,11253,2,3.0,4.0,4.0,2,2,5,5,5,5,1,5,5.0,0,0,0,0,0,3,1,1,2,1,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,1,2371202.0,14.67890797926529
34,1016,33,2012,3,21,12,0.36496350364963503,False,False,False,False,False,False,True,False,False,41.0136,28.955,5461,39,15754053,2885,0.33,39,12603189175738,802669,24452,4,5.0,4.0,4.0,1,3,5,4,4,5,4,4,5.0,0,0,0,0,0,1,4,1,2,1,0,0,0.0,0.0,4.0,3.0,0,0,0,0,0,0,0,0,1,4100886.0,15.226713849739511
35,6812,223,1996,5,8,19,0.021897810218978103,True,True,False,False,False,False,False,True,False,37.00167,35.32889,13844,23,2283609,165,0.14,15,800406554804,350981,10692,4,5.0,4.0,3.0,1,2,5,4,4,5,5,4,5.0,2,2,4,2,4,5,5,4,3,5,3,3,3.0,4.0,3.0,2.0,4,1,3,3,3,4,3,3,0,3903884.0,15.177482769114041
36,2428,79,2008,5,9,19,0.1386861313868613,False,False,False,False,True,False,False,False,False,39.9199,32.8543,25632,938,5910320,231,0.79,25,4625907830091,788859,24031,3,5.0,5.0,3.0,1,5,5,5,5,5,2,5,5.0,0,0,0,0,0,2,5,2,4,3,0,0,0.0,0.0,3.0,3.0,0,0,0,0,0,0,0,0,1,3028267.0,14.923501396888462
37,1592,52,2010,8,23,34,0.1386861313868613,False,True,False,False,True,False,False,False,False,39.9199,32.8543,25632,938,5910320,231,0.79,25,4625907830091,788859,24031,2,3.0,4.0,3.0,1,5,5,5,5,5,1,5,5.0,1,1,2,1,4,1,3,1,2,5,1,1,1.0,1.0,1.0,3.0,5,5,5,3,4,4,3,1,0,2740687.0,14.823719541735718
38,1444,47,2011,1,18,3,0.36496350364963503,False,False,False,False,False,False,True,False,False,41.0136,28.955,5461,39,15754053,2885,0.33,39,12603189175738,802669,24452,3,5.0,4.0,4.0,2,5,5,4,5,4,3,5,4.0,0,0,0,0,0,1,4,1,1,1,0,0,0.0,0.0,2.0,2.0,0,0,0,0,0,0,0,0,1,5461700.0,15.513270837664596
39,2105,69,2009,3,28,13,0.36496350364963503,False,True,False,False,False,False,True,False,False,41.0136,28.955,5461,39,15754053,2885,0.33,39,12603189175738,802669,24452,4,5.0,4.0,4.0,2,3,5,4,4,4,4,4,4.0,4,4,3,3,3,3,5,1,2,2,3,3,3.0,1.0,2.0,2.0,4,1,2,2,3,4,3,2,0,3818055.0,15.155251950525377
40,1422,46,2011,2,9,6,0.36496350364963503,False,True,False,False,False,False,True,False,False,41.0136,28.955,5461,39,15754053,2885,0.33,39,12603189175738,802669,24452,3,5.0,4.0,4.0,2,2,5,1,4,4,5,2,4.0,4,4,4,3,3,5,5,5,1,1,5,5,5.0,1.0,3.0,2.0,5,5,3,3,3,4,3,2,0,6836483.0,15.737784122349685
41,2040,67,2009,6,1,23,0.36496350364963503,False,True,False,False,False,False,True,False,False,41.0136,28.955,5461,39,15754053,2885,0.33,39,12603189175738,802669,24452,4,5.0,5.0,4.0,1,5,5,3,4,5,5,3,5.0,3,4,5,5,4,5,5,5,5,5,5,3,5.0,1.0,5.0,1.0,5,5,4,3,3,4,4,1,0,4554237.0,15.331568785988138
42,1192,39,2011,9,27,39,0.36496350364963503,False,True,False,False,False,False,True,False,False,41.0136,28.955,5461,39,15754053,2885,0.33,39,12603189175738,802669,24452,12,7.5,6.0,6.0,4,4,10,8,10,10,6,10,7.5,0,0,0,0,0,25,15,6,4,20,0,0,0.0,0.0,7.5,5.0,0,0,0,0,0,0,0,0,1,4952255.0,15.415353788294691
43,1925,63,2009,9,24,39,0.1386861313868613,False,False,False,False,True,False,False,False,False,39.9199,32.8543,25632,938,5910320,231,0.79,25,4625907830091,788859,24031,2,4.0,5.0,4.0,1,2,5,5,5,5,2,5,5.0,0,0,0,0,0,1,1,1,2,1,0,0,0.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0,1,2732645.0,14.820780928529512
44,3732,122,2004,10,13,42,0.1386861313868613,False,True,False,False,True,False,False,False,False,39.9199,32.8543,25632,938,5910320,231,0.79,25,4625907830091,788859,24031,2,3.0,5.0,3.0,1,5,5,5,5,5,1,5,5.0,1,1,3,1,4,1,3,1,2,1,1,1,1.0,1.0,2.0,3.0,3,5,5,2,3,4,3,4,0,4264176.0,15.265759754285238
45,1064,34,2012,2,2,5,0.029197080291970802,True,False,False,False,False,False,False,True,False,36.90812,30.69556,20177,61,2777677,138,2.02,19,1528267565187,561429,17103,6,6.0,6.0,4.5,2,8,10,10,10,8,4,10,6.0,0,0,0,0,0,5,15,3,2,5,0,0,0.0,0.0,5.0,7.5,0,0,0,0,0,0,0,0,1,3752885.0,15.138035701956367
46,1225,40,2011,8,25,34,0.06569343065693431,False,True,False,False,False,False,False,False,False,38.4244,27.1322,11891,2,4504185,376,0.24,30,2499932010992,556376,16949,3,5.0,5.0,3.0,1,2,5,5,5,5,2,5,5.0,2,2,4,2,4,2,5,2,4,2,1,1,1.0,4.0,3.0,3.0,5,5,4,2,2,4,3,3,0,4250758.0,15.262608113190913
47,1835,60,2009,12,23,52,0.06569343065693431,False,True,False,False,False,False,False,False,False,38.4244,27.1322,11891,2,4504185,376,0.24,30,2499932010992,556376,16949,4,5.0,5.0,3.0,1,2,5,4,5,5,3,5,5.0,4,4,3,5,4,3,5,3,5,5,4,4,4.0,4.0,5.0,3.0,4,1,2,2,3,5,5,1,0,7865428.0,15.877987638441512
48,1107,36,2011,12,21,51,0.021897810218978103,True,False,False,False,True,False,False,False,False,38.7205,35.4826,16969,1054,1458991,86,0.45,16,586262884830,403635,12296,4,5.0,4.0,4.0,2,2,5,4,4,5,4,4,5.0,0,0,0,0,0,5,5,3,3,5,0,0,0.0,0.0,4.0,3.0,0,0,0,0,0,0,0,0,1,7201784.0,15.789839469926692
49,2466,81,2008,4,1,14,0.36496350364963503,False,False,False,False,False,False,True,False,False,41.0136,28.955,5461,39,15754053,2885,0.33,39,12603189175738,802669,24452,12,7.5,6.0,6.0,2,8,10,10,10,10,4,10,7.5,0,0,0,0,0,15,3,3,3,5,0,0,0.0,0.0,7.5,7.5,0,0,0,0,0,0,0,0,1,8630682.0,15.970834202454078
50,1706,56,2010,5,1,17,0.1386861313868613,False,True,False,False,True,False,False,False,False,39.9199,32.8543,25632,938,5910320,231,0.79,25,4625907830091,788859,24031,3,5.0,4.0,5.0,3,4,5,4,4,4,5,4,4.0,1,1,2,1,1,5,5,1,3,2,2,2,2.0,1.0,3.0,3.0,5,2,3,2,2,2,3,3,0,2156098.0,14.583811128324156
51,1150,37,2011,11,8,45,0.0072992700729927005,True,True,False,True,False,False,False,False,False,41.3887,33.7827,13064,775,379934,29,-0.54,20,150907836496,395056,12035,2,2.0,4.0,4.0,2,2,4,4,5,5,4,5,5.0,0,0,0,0,0,5,4,2,1,2,0,0,0.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0,1,3273041.0,15.001230385664963
52,415,13,2013,11,12,46,0.0072992700729927005,True,False,False,False,False,False,False,False,False,38.67778,29.40417,5555,906,374405,67,-0.24,6,149253280800,397680,12114,2,3.0,4.0,4.0,2,1,1,4,4,5,3,4,5.0,0,0,0,0,0,1,1,1,1,1,0,0,0.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0,1,1763231.0,14.382659046596372
53,643,21,2013,3,29,13,0.0364963503649635,True,False,False,True,False,False,False,False,False,41.2903,36.3336,9725,4,1392403,143,0.73,17,510670430040,369415,11253,3,4.0,4.0,3.0,1,2,5,5,5,5,2,5,5.0,0,0,0,0,0,2,4,2,1,1,0,0,0.0,0.0,3.0,3.0,0,0,0,0,0,0,0,0,1,5595267.0,15.537431798491633
54,5689,186,1999,6,5,22,0.014598540145985401,True,True,False,False,False,False,False,False,False,37.217,28.367,12655,660,1099547,87,1.63,13,569660314451,526553,16040,2,4.0,5.0,4.0,1,1,3,4,4,4,4,2,3.0,0,0,0,0,0,1,2,2,1,1,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,1,4651866.0,15.352779202358168
55,2333,76,2008,8,12,33,0.36496350364963503,False,False,False,False,False,False,True,False,False,41.0136,28.955,5461,39,15754053,2885,0.33,39,12603189175738,802669,24452,2,4.0,4.0,4.0,1,4,5,5,5,5,1,5,5.0,0,0,0,0,0,1,1,1,1,1,0,0,0.0,0.0,3.0,3.0,0,0,0,0,0,0,0,0,1,6941173.0,15.752981482441456
56,656,21,2013,3,16,11,0.36496350364963503,False,True,False,False,False,False,True,False,False,41.0136,28.955,5461,39,15754053,2885,0.33,39,12603189175738,802669,24452,4,5.0,4.0,4.0,2,2,5,4,4,4,5,3,4.0,0,0,0,0,0,4,5,2,2,2,0,0,0.0,0.0,3.0,3.0,0,0,0,0,0,0,0,0,1,2390534.0,14.687027748229546
57,2385,78,2008,6,21,25,0.029197080291970802,True,False,False,False,False,False,False,True,False,36.90812,30.69556,20177,61,2777677,138,2.02,19,1528267565187,561429,17103,2,3.0,4.0,3.0,1,4,5,5,5,5,2,5,5.0,0,0,0,0,0,1,2,1,1,1,0,0,0.0,0.0,3.0,2.0,0,0,0,0,0,0,0,0,1,3258837.0,14.99688124808465
58,995,32,2012,4,11,15,0.36496350364963503,False,False,False,False,False,False,True,False,False,41.0136,28.955,5461,39,15754053,2885,0.33,39,12603189175738,802669,24452,3,4.0,4.0,5.0,2,2,5,5,5,5,2,5,5.0,0,0,0,0,0,1,3,1,3,1,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,1,3004429.0,14.915598424098953
59,2588,85,2007,12,1,48,0.36496350364963503,False,False,False,False,False,False,True,False,False,41.0136,28.955,5461,39,15754053,2885,0.33,39,12603189175738,802669,24452,4,5.0,4.0,4.0,1,3,5,5,5,5,2,5,5.0,0,0,0,0,0,3,3,1,3,1,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,1,3600467.0,15.09657439497707
60,975,32,2012,5,1,18,0.1386861313868613,False,True,False,False,True,False,False,False,False,39.9199,32.8543,25632,938,5910320,231,0.79,25,4625907830091,788859,24031,12,7.5,6.0,6.0,2,6,10,8,10,10,6,10,7.5,6,4,9,3,12,10,15,6,3,10,4,4,5.0,2.5,5.0,7.5,10,15,20,4,18,12,12,2,0,3164972.0,14.96765508271834
61,2407,79,2008,5,30,22,0.36496350364963503,False,False,False,False,False,False,True,False,False,41.0136,28.955,5461,39,15754053,2885,0.33,39,12603189175738,802669,24452,12,7.5,6.0,6.0,4,6,10,8,8,8,6,8,6.0,0,0,0,0,0,15,12,3,2,5,0,0,0.0,0.0,7.5,5.0,0,0,0,0,0,0,0,0,1,4350573.0,15.285818348382689
62,1508,49,2010,11,15,46,0.029197080291970802,True,False,False,False,False,False,True,False,False,40.783,30.4,4824,31,1123693,233,1.17,16,532515238110,479426,14605,2,4.0,4.0,4.0,2,3,5,5,5,4,2,5,4.0,4,1,2,2,4,3,1,1,1,1,3,3,3.0,1.0,2.0,3.0,1,1,3,2,3,1,3,3,0,5286212.0,15.480612668453729
63,514,16,2013,8,5,32,0.0072992700729927005,True,False,False,False,False,False,True,False,False,41.7333,27.2167,6459,232,379595,59,0.15,8,201412525028,531388,16188,2,2.0,4.0,4.0,3,1,4,5,5,5,2,5,5.0,0,0,0,0,0,2,1,1,1,1,0,0,0.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0,1,1619683.0,14.297741626453158
64,6016,197,1998,7,13,29,0.36496350364963503,False,True,False,False,False,False,True,False,False,41.0136,28.955,5461,39,15754053,2885,0.33,39,12603189175738,802669,24452,12,7.5,6.0,6.0,2,8,10,10,10,10,4,10,7.5,15,10,15,15,12,10,9,6,3,5,10,10,12.5,5.0,5.0,7.5,20,15,25,4,24,15,20,6,0,2551252.0,14.75209516899967
65,376,12,2013,12,21,51,0.06569343065693431,False,False,False,False,False,False,False,False,False,38.4244,27.1322,11891,2,4504185,376,0.24,30,2499932010992,556376,16949,3,5.0,4.0,3.0,1,2,5,5,5,5,1,5,5.0,0,0,0,0,0,1,1,1,1,1,0,0,0.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0,1,1756069.0,14.378588915708418
66,1818,59,2010,1,9,1,0.014598540145985401,True,False,False,False,True,False,False,False,False,37.87444,32.49306,40838,1016,2343409,57,0.57,31,906008862184,388841,11845,2,2.0,4.0,3.0,1,1,1,4,5,5,3,5,5.0,0,0,0,0,0,4,3,1,1,2,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,1,1882131.0,14.4479157348188
67,1402,46,2011,3,1,9,0.36496350364963503,False,False,False,False,False,False,True,False,False,41.0136,28.955,5461,39,15754053,2885,0.33,39,12603189175738,802669,24452,4,5.0,4.0,5.0,2,4,5,4,4,4,3,3,4.0,0,0,0,0,0,5,5,3,5,3,0,0,0.0,0.0,5.0,1.0,0,0,0,0,0,0,0,0,1,4052733.0,15.21490227305944
68,1752,57,2010,3,16,11,0.36496350364963503,False,True,False,False,False,False,True,False,False,41.0136,28.955,5461,39,15754053,2885,0.33,39,12603189175738,802669,24452,2,4.0,3.0,4.0,2,3,5,5,5,4,1,5,4.0,2,2,2,1,4,2,1,1,2,1,5,3,5.0,5.0,2.0,3.0,5,5,5,4,4,4,3,4,0,3836721.0,15.160128914167485
69,1220,40,2011,8,30,35,0.014598540145985401,True,True,False,False,True,False,False,False,False,37.87444,32.49306,40838,1016,2343409,57,0.57,31,906008862184,388841,11845,2,2.0,4.0,5.0,4,2,5,5,5,5,1,5,5.0,0,0,0,0,0,3,1,1,2,1,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,1,3452382.0,15.054575275204753
70,2957,97,2006,11,27,48,0.36496350364963503,False,False,False,False,False,False,True,False,False,41.0136,28.955,5461,39,15754053,2885,0.33,39,12603189175738,802669,24452,4,5.0,4.0,4.0,1,4,5,5,5,5,2,5,5.0,0,0,0,0,0,3,5,1,4,2,0,0,0.0,0.0,3.0,3.0,0,0,0,0,0,0,0,0,1,3982767.0,15.19748761291523
