Id,age_days,city_group_Other,type_IL,type_Other,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,revenue,log_revenue
11,954,False,True,False,2,4.0,4.0,4.0,2,5,5,5,5,5,2,5,5.0,2,2,5,2,4,2,5,1,1,3,5,2,3.0,5.0,3.0,3.0,5,5,4,2,3,4,4,2,5161370.0,15.456712799840789
12,672,False,True,False,2,2.0,4.0,4.0,2,1,5,4,5,5,3,5,5.0,0,0,0,0,0,3,4,1,2,2,0,0,0.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0,1734634.0,14.36630757459148
13,1538,False,False,False,4,5.0,4.0,4.0,1,3,5,5,5,5,2,5,5.0,0,0,0,0,0,3,4,1,2,1,0,0,0.0,0.0,3.0,3.0,0,0,0,0,0,0,0,0,4807746.0,15.385739133180387
14,1099,True,False,False,2,2.0,4.0,4.0,1,2,5,5,5,5,2,5,5.0,0,0,0,0,0,3,3,1,3,2,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,1999097.0,14.508206636793131
15,1059,False,True,False,12,7.5,6.0,6.0,2,10,10,10,10,10,4,10,7.5,3,10,15,3,12,10,9,3,2,5,8,8,10.0,2.5,7.5,7.5,5,15,20,2,12,3,16,4,3218918.0,14.98455614687022
16,5473,False,False,False,3,5.0,4.0,4.0,2,5,5,4,5,4,3,5,4.0,0,0,0,0,0,1,4,1,1,1,0,0,0.0,0.0,2.0,2.0,0,0,0,0,0,0,0,0,19696939.0,16.795973851694033
17,1880,False,False,False,2,4.0,4.0,5.0,1,3,5,4,5,5,3,5,5.0,0,0,0,0,0,1,1,1,1,1,0,0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,8213524.0,15.921292743728163
18,985,False,True,False,4,5.0,4.0,3.0,1,2,5,5,5,5,2,5,5.0,3,2,3,2,3,4,5,1,4,2,5,3,3.0,3.0,2.0,3.0,3,5,5,4,4,4,3,2,5337526.0,15.490272995054232
19,1234,True,True,False,2,4.0,4.0,4.0,2,2,5,5,4,4,1,3,4.0,0,0,0,0,0,2,1,1,1,1,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,2021934.0,14.519565531656134
20,1590,True,True,False,3,4.0,4.0,4.0,2,2,5,4,5,5,3,5,5.0,3,5,5,4,4,5,5,1,1,5,2,4,1.0,5.0,1.0,3.0,5,1,2,2,4,5,5,4,5525735.0,15.524927009165754
21,341,False,False,False,5,5.0,4.0,4.0,2,2,5,4,4,4,4,3,4.0,0,0,0,0,0,4,5,1,3,1,0,0,0.0,0.0,3.0,1.0,0,0,0,0,0,0,0,0,1149870.0,13.955160320134425
22,3106,True,False,False,9,6.0,6.0,6.0,4,6,10,10,10,10,2,10,7.5,0,0,0,0,0,15,12,3,3,10,0,0,0.0,0.0,7.5,7.5,0,0,0,0,0,0,0,0,3956086.0,15.190765963393943
23,2038,True,False,False,2,4.0,4.0,4.0,2,2,5,3,4,4,5,4,4.0,0,0,0,0,0,2,2,1,1,1,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,2999068.0,14.913812465135697
24,1929,False,True,False,5,5.0,3.0,5.0,2,2,5,5,5,4,2,5,4.0,4,4,4,5,4,5,5,2,2,3,2,2,2.0,5.0,3.0,2.0,5,5,4,4,4,4,5,2,8904084.0,16.00202071816329
25,1105,True,False,False,4,4.0,5.0,5.0,2,2,5,5,5,5,2,5,5.0,0,0,0,0,0,3,1,2,1,1,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,3778621.0,15.14486995086662
26,1773,False,True,False,3,5.0,4.0,5.0,2,3,5,3,5,4,5,5,4.0,3,4,4,1,4,5,5,2,3,2,2,2,2.0,1.0,3.0,3.0,5,5,4,3,3,4,3,1,2267425.0,14.634155825378254
27,5563,True,False,False,4,5.0,4.0,3.0,1,2,5,4,4,5,4,4,5.0,0,0,0,0,0,5,5,5,5,5,0,0,0.0,0.0,4.0,3.0,0,0,0,0,0,0,0,0,5435276.0,15.508421043200087
28,6182,False,True,False,4,5.0,4.0,4.0,1,3,5,5,4,4,2,4,4.0,3,4,4,2,4,5,5,2,4,3,5,3,4.0,2.0,4.0,2.0,3,5,5,2,3,5,4,4,4705945.0,15.364337373490478
29,3002,False,False,False,1,1.0,4.0,4.0,2,1,1,4,4,4,5,2,4.0,0,0,0,0,0,1,1,1,1,1,0,0,0.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0,3447890.0,15.053273297737032
30,2222,True,True,False,1,1.0,3.0,3.0,2,1,1,5,5,5,2,5,5.0,0,0,0,0,0,1,1,1,1,1,0,0,0.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0,3008199.0,14.91685245120325
31,731,False,True,False,4,5.0,4.0,4.0,1,3,5,5,5,5,2,5,5.0,2,3,3,1,3,4,2,1,2,1,5,2,5.0,2.0,2.0,3.0,4,3,3,2,3,4,3,3,2058644.0,14.537558557351856
32,2175,True,False,False,3,4.0,3.0,4.0,3,2,5,4,4,4,3,4,4.0,0,0,0,0,0,5,1,1,1,1,0,0,0.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0,3261924.0,14.997828069869346
33,618,True,False,False,2,3.0,4.0,4.0,2,2,5,5,5,5,1,5,5.0,0,0,0,0,0,3,1,1,2,1,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,2371202.0,14.67890797926529
34,1016,False,False,False,4,5.0,4.0,4.0,1,3,5,4,4,5,4,4,5.0,0,0,0,0,0,1,4,1,2,1,0,0,0.0,0.0,4.0,3.0,0,0,0,0,0,0,0,0,4100886.0,15.226713849739511
35,6812,True,True,False,4,5.0,4.0,3.0,1,2,5,4,4,5,5,4,5.0,2,2,4,2,4,5,5,4,3,5,3,3,3.0,4.0,3.0,2.0,4,1,3,3,3,4,3,3,3903884.0,15.177482769114041
36,2428,False,False,False,3,5.0,5.0,3.0,1,5,5,5,5,5,2,5,5.0,0,0,0,0,0,2,5,2,4,3,0,0,0.0,0.0,3.0,3.0,0,0,0,0,0,0,0,0,3028267.0,14.923501396888462
37,1592,False,True,False,2,3.0,4.0,3.0,1,5,5,5,5,5,1,5,5.0,1,1,2,1,4,1,3,1,2,5,1,1,1.0,1.0,1.0,3.0,5,5,5,3,4,4,3,1,2740687.0,14.823719541735718
38,1444,False,False,False,3,5.0,4.0,4.0,2,5,5,4,5,4,3,5,4.0,0,0,0,0,0,1,4,1,1,1,0,0,0.0,0.0,2.0,2.0,0,0,0,0,0,0,0,0,5461700.0,15.513270837664596
39,2105,False,True,False,4,5.0,4.0,4.0,2,3,5,4,4,4,4,4,4.0,4,4,3,3,3,3,5,1,2,2,3,3,3.0,1.0,2.0,2.0,4,1,2,2,3,4,3,2,3818055.0,15.155251950525377
40,1422,False,True,False,3,5.0,4.0,4.0,2,2,5,1,4,4,5,2,4.0,4,4,4,3,3,5,5,5,1,1,5,5,5.0,1.0,3.0,2.0,5,5,3,3,3,4,3,2,6836483.0,15.737784122349685
41,2040,False,True,False,4,5.0,5.0,4.0,1,5,5,3,4,5,5,3,5.0,3,4,5,5,4,5,5,5,5,5,5,3,5.0,1.0,5.0,1.0,5,5,4,3,3,4,4,1,4554237.0,15.331568785988138
42,1192,False,True,False,12,7.5,6.0,6.0,4,4,10,8,10,10,6,10,7.5,0,0,0,0,0,25,15,6,4,20,0,0,0.0,0.0,7.5,5.0,0,0,0,0,0,0,0,0,4952255.0,15.415353788294691
43,1925,False,False,False,2,4.0,5.0,4.0,1,2,5,5,5,5,2,5,5.0,0,0,0,0,0,1,1,1,2,1,0,0,0.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0,2732645.0,14.820780928529512
44,3732,False,True,False,2,3.0,5.0,3.0,1,5,5,5,5,5,1,5,5.0,1,1,3,1,4,1,3,1,2,1,1,1,1.0,1.0,2.0,3.0,3,5,5,2,3,4,3,4,4264176.0,15.265759754285238
45,1064,True,False,False,6,6.0,6.0,4.5,2,8,10,10,10,8,4,10,6.0,0,0,0,0,0,5,15,3,2,5,0,0,0.0,0.0,5.0,7.5,0,0,0,0,0,0,0,0,3752885.0,15.138035701956367
46,1225,False,True,False,3,5.0,5.0,3.0,1,2,5,5,5,5,2,5,5.0,2,2,4,2,4,2,5,2,4,2,1,1,1.0,4.0,3.0,3.0,5,5,4,2,2,4,3,3,4250758.0,15.262608113190913
47,1835,False,True,False,4,5.0,5.0,3.0,1,2,5,4,5,5,3,5,5.0,4,4,3,5,4,3,5,3,5,5,4,4,4.0,4.0,5.0,3.0,4,1,2,2,3,5,5,1,7865428.0,15.877987638441512
48,1107,True,False,False,4,5.0,4.0,4.0,2,2,5,4,4,5,4,4,5.0,0,0,0,0,0,5,5,3,3,5,0,0,0.0,0.0,4.0,3.0,0,0,0,0,0,0,0,0,7201784.0,15.789839469926692
49,2466,False,False,False,12,7.5,6.0,6.0,2,8,10,10,10,10,4,10,7.5,0,0,0,0,0,15,3,3,3,5,0,0,0.0,0.0,7.5,7.5,0,0,0,0,0,0,0,0,8630682.0,15.970834202454078
50,1706,False,True,False,3,5.0,4.0,5.0,3,4,5,4,4,4,5,4,4.0,1,1,2,1,1,5,5,1,3,2,2,2,2.0,1.0,3.0,3.0,5,2,3,2,2,2,3,3,2156098.0,14.583811128324156
51,1150,True,True,False,2,2.0,4.0,4.0,2,2,4,4,5,5,4,5,5.0,0,0,0,0,0,5,4,2,1,2,0,0,0.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0,3273041.0,15.001230385664963
52,415,True,False,False,2,3.0,4.0,4.0,2,1,1,4,4,5,3,4,5.0,0,0,0,0,0,1,1,1,1,1,0,0,0.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0,1763231.0,14.382659046596372
53,643,True,False,False,3,4.0,4.0,3.0,1,2,5,5,5,5,2,5,5.0,0,0,0,0,0,2,4,2,1,1,0,0,0.0,0.0,3.0,3.0,0,0,0,0,0,0,0,0,5595267.0,15.537431798491633
54,5689,True,True,False,2,4.0,5.0,4.0,1,1,3,4,4,4,4,2,3.0,0,0,0,0,0,1,2,2,1,1,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,4651866.0,15.352779202358168
55,2333,False,False,False,2,4.0,4.0,4.0,1,4,5,5,5,5,1,5,5.0,0,0,0,0,0,1,1,1,1,1,0,0,0.0,0.0,3.0,3.0,0,0,0,0,0,0,0,0,6941173.0,15.752981482441456
56,656,False,True,False,4,5.0,4.0,4.0,2,2,5,4,4,4,5,3,4.0,0,0,0,0,0,4,5,2,2,2,0,0,0.0,0.0,3.0,3.0,0,0,0,0,0,0,0,0,2390534.0,14.687027748229546
57,2385,True,False,False,2,3.0,4.0,3.0,1,4,5,5,5,5,2,5,5.0,0,0,0,0,0,1,2,1,1,1,0,0,0.0,0.0,3.0,2.0,0,0,0,0,0,0,0,0,3258837.0,14.99688124808465
58,995,False,False,False,3,4.0,4.0,5.0,2,2,5,5,5,5,2,5,5.0,0,0,0,0,0,1,3,1,3,1,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,3004429.0,14.915598424098953
59,2588,False,False,False,4,5.0,4.0,4.0,1,3,5,5,5,5,2,5,5.0,0,0,0,0,0,3,3,1,3,1,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,3600467.0,15.09657439497707
60,975,False,True,False,12,7.5,6.0,6.0,2,6,10,8,10,10,6,10,7.5,6,4,9,3,12,10,15,6,3,10,4,4,5.0,2.5,5.0,7.5,10,15,20,4,18,12,12,2,3164972.0,14.96765508271834
61,2407,False,False,False,12,7.5,6.0,6.0,4,6,10,8,8,8,6,8,6.0,0,0,0,0,0,15,12,3,2,5,0,0,0.0,0.0,7.5,5.0,0,0,0,0,0,0,0,0,4350573.0,15.285818348382689
62,1508,True,False,False,2,4.0,4.0,4.0,2,3,5,5,5,4,2,5,4.0,4,1,2,2,4,3,1,1,1,1,3,3,3.0,1.0,2.0,3.0,1,1,3,2,3,1,3,3,5286212.0,15.480612668453729
63,514,True,False,False,2,2.0,4.0,4.0,3,1,4,5,5,5,2,5,5.0,0,0,0,0,0,2,1,1,1,1,0,0,0.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0,1619683.0,14.297741626453158
64,6016,False,True,False,12,7.5,6.0,6.0,2,8,10,10,10,10,4,10,7.5,15,10,15,15,12,10,9,6,3,5,10,10,12.5,5.0,5.0,7.5,20,15,25,4,24,15,20,6,2551252.0,14.75209516899967
65,376,False,False,False,3,5.0,4.0,3.0,1,2,5,5,5,5,1,5,5.0,0,0,0,0,0,1,1,1,1,1,0,0,0.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0,1756069.0,14.378588915708418
66,1818,True,False,False,2,2.0,4.0,3.0,1,1,1,4,5,5,3,5,5.0,0,0,0,0,0,4,3,1,1,2,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,1882131.0,14.4479157348188
67,1402,False,False,False,4,5.0,4.0,5.0,2,4,5,4,4,4,3,3,4.0,0,0,0,0,0,5,5,3,5,3,0,0,0.0,0.0,5.0,1.0,0,0,0,0,0,0,0,0,4052733.0,15.21490227305944
68,1752,False,True,False,2,4.0,3.0,4.0,2,3,5,5,5,4,1,5,4.0,2,2,2,1,4,2,1,1,2,1,5,3,5.0,5.0,2.0,3.0,5,5,5,4,4,4,3,4,3836721.0,15.160128914167485
69,1220,True,True,False,2,2.0,4.0,5.0,4,2,5,5,5,5,1,5,5.0,0,0,0,0,0,3,1,1,2,1,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,3452382.0,15.054575275204753
70,2957,False,False,False,4,5.0,4.0,4.0,1,4,5,5,5,5,2,5,5.0,0,0,0,0,0,3,5,1,4,2,0,0,0.0,0.0,3.0,3.0,0,0,0,0,0,0,0,0,3982767.0,15.19748761291523
71,2948,False,True,False,12,7.5,6.0,6.0,2,10,10,10,10,10,4,10,7.5,9,8,12,3,12,10,9,6,3,5,8,8,10.0,10.0,10.0,7.5,5,6,10,6,18,12,12,6,4136425.0,15.23534268793223
72,1975,False,True,False,3,5.0,4.0,4.0,2,2,5,3,4,5,5,4,5.0,3,2,3,1,4,4,5,5,3,5,5,2,5.0,3.0,5.0,1.0,4,3,3,2,3,4,3,1,2525375.0,14.74190052049656
73,1185,False,False,False,4,5.0,4.0,5.0,2,2,5,3,4,5,5,4,5.0,0,0,0,0,0,5,5,5,5,5,0,0,0.0,0.0,5.0,0.0,0,0,0,0,0,0,0,0,3347767.0,15.023804413088934
74,1127,False,True,False,12,7.5,6.0,6.0,2,8,10,8,8,8,8,8,6.0,12,10,12,9,9,20,15,6,4,25,10,8,10.0,2.5,12.5,2.5,20,9,15,4,12,12,12,4,5500818.0,15.52040754820775
75,3365,False,False,False,5,5.0,4.0,5.0,1,4,5,3,4,4,5,3,4.0,0,0,0,0,0,5,5,5,5,4,0,0,0.0,0.0,5.0,0.0,0,0,0,0,0,0,0,0,16549064.0,16.62184016272314
76,2228,False,False,False,2,2.0,4.0,4.0,2,2,5,5,5,5,2,5,5.0,0,0,0,0,0,3,4,1,2,1,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,4590423.0,15.339482952498114
77,433,False,False,False,3,5.0,3.0,5.0,3,4,5,4,4,4,5,4,4.0,0,0,0,0,0,5,5,1,3,1,0,0,0.0,0.0,3.0,2.0,0,0,0,0,0,0,0,0,1904842.0,14.459910148448499
78,824,False,True,False,9,7.5,6.0,7.5,8,6,10,10,8,8,4,6,6.0,3,2,9,3,12,25,12,6,2,10,4,4,5.0,2.5,7.5,2.5,20,9,20,4,18,12,12,2,3871344.0,15.169112549845753
79,1802,True,True,False,4,5.0,4.0,3.0,1,3,5,5,5,5,1,5,5.0,2,2,4,2,4,3,3,1,4,4,3,3,3.0,2.0,2.0,3.0,4,5,5,3,3,4,4,3,6313221.0,15.658156722262913
80,1903,False,False,False,4,5.0,4.0,5.0,1,3,5,5,5,5,2,5,5.0,0,0,0,0,0,3,5,2,5,3,0,0,0.0,0.0,5.0,1.0,0,0,0,0,0,0,0,0,3727364.0,15.131212107661344
81,3303,False,False,False,2,4.0,4.0,4.0,1,3,5,4,5,5,3,5,5.0,0,0,0,0,0,2,4,2,2,1,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,4066618.0,15.218322499655205
82,1773,True,False,False,2,2.0,4.0,3.0,2,1,5,4,5,5,5,5,5.0,0,0,0,0,0,5,4,2,2,2,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,3807496.0,15.152482575832561
83,5986,False,True,False,2,4.0,4.0,4.0,2,5,5,4,5,4,3,5,4.0,4,4,5,5,5,2,4,1,2,1,5,5,5.0,1.0,2.0,3.0,5,5,5,3,4,4,5,3,5966193.0,15.601619761127877
84,1910,False,True,False,4,4.0,5.0,3.0,1,3,5,5,5,5,2,5,5.0,3,2,4,1,4,1,3,2,2,3,3,2,3.0,5.0,2.0,3.0,4,3,3,2,4,4,3,1,4250553.0,15.262559885346569
85,5473,False,False,False,3,5.0,4.0,4.0,2,5,5,4,5,4,3,5,4.0,0,0,0,0,0,1,4,1,1,1,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,7495092.0,15.829759097714035
86,1255,True,False,False,3,3.0,4.0,4.0,2,2,5,4,5,5,3,5,5.0,0,0,0,0,0,3,5,1,3,2,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,3351383.0,15.024883952813118
87,2516,False,False,False,5,5.0,4.0,4.0,1,3,5,5,4,4,2,4,4.0,0,0,0,0,0,5,5,3,4,2,0,0,0.0,0.0,5.0,2.0,0,0,0,0,0,0,0,0,5906596.0,15.59158041982115
88,540,True,False,False,1,2.0,5.0,4.0,1,2,1,4,5,5,3,5,5.0,0,0,0,0,0,1,1,1,1,1,0,0,0.0,0.0,1.0,2.0,0,0,0,0,0,0,0,0,2025297.0,14.52122740818956
89,2061,False,True,False,1,1.0,4.0,3.0,1,2,1,5,5,5,1,5,5.0,1,1,1,1,1,2,1,1,1,1,1,1,1.0,5.0,1.0,3.0,5,4,4,3,3,4,2,3,2364478.0,14.67606825965636
90,511,False,False,False,12,7.5,6.0,6.0,2,8,10,10,8,8,4,8,6.0,0,0,0,0,0,15,9,3,3,5,0,0,0.0,0.0,5.0,7.5,0,0,0,0,0,0,0,0,3426169.0,15.046953577183888
91,2752,True,True,False,3,5.0,4.0,4.0,1,2,5,5,5,5,1,5,5.0,0,0,0,0,0,3,2,1,2,2,0,0,0.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0,2083447.0,14.54953477152983
92,4444,False,False,False,12,7.5,7.5,6.0,2,10,10,8,8,10,8,8,7.5,0,0,0,0,0,25,15,6,3,25,0,0,0.0,0.0,10.0,7.5,0,0,0,0,0,0,0,0,6782425.0,15.729845413024448
93,809,True,True,False,3,4.0,4.0,4.0,1,2,5,4,4,5,4,4,5.0,5,5,3,2,4,3,5,1,3,1,2,2,2.0,1.0,2.0,2.0,3,1,4,3,4,5,5,3,3410878.0,15.042480587303393
94,1242,True,False,False,2,3.0,4.0,4.0,2,2,5,5,5,5,1,5,5.0,3,2,4,1,3,3,2,1,2,1,5,1,2.0,5.0,1.0,3.0,4,4,3,4,4,4,3,5,3753720.0,15.138258172642109
95,937,True,False,False,2,4.0,4.0,4.0,2,2,5,5,5,5,2,5,5.0,0,0,0,0,0,1,1,1,1,1,0,0,0.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0,1270499.0,14.054921081742355
96,1131,True,False,False,4,5.0,2.0,4.0,2,2,5,4,4,4,3,4,4.0,0,0,0,0,0,3,2,1,2,3,0,0,0.0,0.0,2.0,2.0,0,0,0,0,0,0,0,0,6412623.0,15.673779105506169
97,2166,False,False,False,3,5.0,4.0,4.0,1,4,5,4,5,4,4,5,4.0,0,0,0,0,0,4,5,2,4,5,0,0,0.0,0.0,5.0,1.0,0,0,0,0,0,0,0,0,6694797.0,15.716841364882255
98,1392,True,False,False,3,4.0,4.0,4.0,1,2,5,2,4,5,5,4,5.0,0,0,0,0,0,3,5,1,3,1,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,2344689.0,14.667663754961787
99,5493,False,True,False,4,5.0,4.0,4.0,2,4,5,4,4,4,5,3,4.0,5,5,5,5,5,5,5,5,3,1,5,5,5.0,1.0,5.0,1.0,5,5,4,2,5,5,5,3,13575224.0,16.42375699823255
100,2659,False,False,False,3,5.0,4.0,4.0,2,5,5,5,5,5,2,5,5.0,0,0,0,0,0,4,5,2,2,1,0,0,0.0,0.0,4.0,3.0,0,0,0,0,0,0,0,0,9652350.0,16.08271207058595
101,844,True,True,False,3,4.0,5.0,4.0,2,2,5,4,5,5,4,5,5.0,5,4,5,5,4,5,5,4,2,5,1,1,1.0,0.0,2.0,3.0,5,5,5,5,4,5,5,4,4758476.0,15.375438217026932
102,3764,True,False,False,4,5.0,2.0,5.0,2,2,5,4,4,4,3,4,4.0,0,0,0,0,0,4,4,1,2,3,0,0,0.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0,2738052.0,14.822757641838216
103,1122,True,False,False,2,4.0,4.0,4.0,1,2,5,5,5,5,2,5,5.0,0,0,0,0,0,2,3,1,2,1,0,0,0.0,0.0,2.0,2.0,0,0,0,0,0,0,0,0,4429512.0,15.303800203698414
104,2901,True,True,False,4,5.0,4.0,3.0,1,3,5,5,5,5,2,5,5.0,1,2,2,1,3,2,5,1,3,4,1,1,4.0,3.0,2.0,3.0,5,5,3,3,5,4,3,2,4467728.0,15.31239078379547
105,2483,True,False,False,1,2.0,5.0,3.0,1,2,1,5,5,5,1,5,5.0,0,0,0,0,0,1,1,1,1,1,0,0,0.0,0.0,1.0,2.0,0,0,0,0,0,0,0,0,2792031.0,14.842280204116772
106,2391,True,False,False,3,3.0,6.0,6.0,4,2,2,8,10,10,6,10,7.5,0,0,0,0,0,5,3,3,1,5,0,0,0.0,0.0,2.5,7.5,0,0,0,0,0,0,0,0,4888774.0,15.402452318820426
107,1341,True,True,False,4,4.0,4.0,4.0,1,2,5,4,5,5,3,5,5.0,3,5,5,3,4,5,5,3,3,5,2,2,2.0,3.0,3.0,1.0,5,5,5,3,4,4,4,3,3248660.0,14.993753469410601
108,906,True,False,False,1,2.0,5.0,4.0,1,2,1,5,4,4,2,4,3.0,0,0,0,0,0,1,1,1,1,1,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,3570392.0,15.088186231730633
109,2686,False,False,False,2,4.0,3.0,5.0,4,5,5,4,4,4,5,4,4.0,0,0,0,0,0,1,2,1,1,1,0,0,0.0,0.0,3.0,2.0,0,0,0,0,0,0,0,0,4219263.0,15.255171263218486
110,827,True,True,False,6,3.0,6.0,6.0,4,4,10,8,10,10,6,10,7.5,9,8,12,3,12,10,12,6,1,10,2,2,2.5,2.5,5.0,7.5,15,3,15,6,18,12,16,6,2954086.0,14.898700193230836
111,874,True,False,False,2,3.0,4.0,4.0,2,1,5,5,5,5,1,5,5.0,0,0,0,0,0,1,1,1,1,1,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,2993069.0,14.911810174466455
112,6137,False,True,False,4,5.0,5.0,4.0,1,5,5,5,4,4,2,4,4.0,3,4,2,1,4,2,3,2,2,1,3,3,4.0,5.0,3.0,3.0,3,2,1,2,2,1,3,3,3784230.0,15.146353253802271
113,2945,True,False,False,3,4.0,4.0,4.0,1,2,5,5,5,5,2,5,5.0,0,0,0,0,0,2,3,1,2,1,0,0,0.0,0.0,2.0,2.0,0,0,0,0,0,0,0,0,2097022.0,14.556029277873503
114,2217,True,True,False,4,5.0,5.0,4.0,2,2,5,4,5,5,3,5,5.0,3,4,3,1,3,5,5,4,5,5,3,3,3.0,2.0,4.0,1.0,5,3,3,2,3,4,3,1,4155435.0,15.2399279145812
115,972,False,True,False,6,4.5,6.0,6.0,4,8,10,10,10,10,4,10,7.5,6,4,12,6,12,5,9,3,2,5,8,8,10.0,12.5,5.0,7.5,25,15,25,4,18,12,16,8,4882985.0,15.401267475949783
116,1007,False,False,False,2,4.0,4.0,4.0,2,2,5,4,4,5,3,4,5.0,0,0,0,0,0,2,2,1,1,1,0,0,0.0,0.0,3.0,3.0,0,0,0,0,0,0,0,0,8894598.0,16.000954796559405
117,3292,False,True,False,3,5.0,4.0,5.0,3,3,5,4,4,5,4,2,5.0,1,3,3,1,4,5,5,4,2,2,1,1,1.0,1.0,3.0,1.0,3,3,3,2,3,4,3,1,2018785.0,14.51800689861144
118,1833,False,True,False,12,7.5,7.5,4.5,2,10,10,10,10,10,4,10,7.5,3,4,9,3,3,10,15,3,4,5,6,4,7.5,5.0,10.0,5.0,25,6,10,4,18,12,12,2,1847826.0,14.42952091208302
